i,time,node,event,peer,msg
0,11,0,up,70,
1,12,0,up,42,
2,12,0,up,84,
3,13,0,up,45,
4,14,0,up,40,
5,14,0,down,84,
6,14,0,up,55,
7,14,0,down,55,
8,14,0,up,2,
9,14,0,down,70,
10,14,0,up,30,
11,14,0,down,2,
12,14,0,up,97,
13,15,0,down,30,
14,15,0,up,39,
15,16,0,down,39,
16,16,0,up,88,
17,16,0,down,40,
18,16,0,up,44,
19,17,0,down,45,
20,17,0,up,35,
21,17,0,down,35,
22,17,0,up,15,
23,17,0,down,44,
24,17,0,up,3,
25,17,0,down,3,
26,17,0,up,65,
27,18,0,down,15,
28,18,0,up,96,
29,18,0,down,97,
30,18,0,up,28,
31,18,0,down,88,
32,18,0,up,6,
33,19,0,down,42,
34,19,0,up,78,
35,20,0,down,96,
36,20,0,up,9,
37,20,0,down,78,
38,20,0,up,68,
39,21,0,down,28,
40,21,0,up,50,
41,21,0,down,65,
42,21,0,up,48,
43,21,0,down,9,
44,21,0,up,53,
45,21,0,down,50,
46,21,0,up,75,
47,21,0,down,48,
48,21,0,up,58,
49,22,0,down,75,
50,22,0,up,76,
51,23,0,down,53,
52,23,0,up,86,
53,23,0,down,6,
54,23,0,up,69,
55,23,70,up,0,
56,23,0,down,76,
57,23,0,up,5,
58,23,0,down,5,
59,23,0,up,17,
60,24,0,down,86,
61,24,0,up,18,
62,24,0,down,17,
63,24,0,up,14,
64,24,42,up,0,
65,24,0,down,18,
66,24,0,up,57,
67,24,84,up,0,
68,25,0,down,14,
69,25,0,up,91,
70,25,0,down,57,
71,25,0,up,29,
72,25,0,down,68,
73,25,0,up,79,
74,26,0,down,29,
75,26,0,up,54,
76,26,45,up,0,
77,26,70,down,0,
78,26,84,down,0,
79,26,0,down,91,
80,26,0,up,93,
81,26,0,down,58,
82,26,0,up,23,
83,26,0,down,79,
84,26,0,up,60,
85,27,0,down,93,
86,27,0,up,16,
87,27,0,down,60,
88,27,0,up,67,
89,28,40,up,0,
90,28,0,down,23,
91,28,0,up,33,
92,28,55,up,0,
93,28,55,down,0,
94,28,0,down,16,
95,28,0,up,82,
96,29,2,up,0,
97,29,0,down,67,
98,29,0,up,63,
99,29,30,up,0,
100,29,2,down,0,
101,29,0,down,82,
102,29,0,up,90,
103,29,97,up,0,
104,29,0,down,63,
105,29,0,up,94,
106,29,0,down,54,
107,29,0,up,71,
108,29,30,down,0,
109,29,0,down,69,
110,29,0,up,26,
111,29,0,down,94,
112,29,0,up,22,
113,30,0,down,26,
114,30,0,up,62,
115,30,0,down,90,
116,30,0,up,38,
117,30,45,down,0,
118,30,40,down,0,
119,30,39,up,0,
120,30,0,down,38,
121,30,0,up,20,
122,30,0,down,62,
123,30,0,up,10,
124,31,0,down,20,
125,31,0,up,31,
126,31,42,down,0,
127,31,39,down,0,
128,32,0,down,10,
129,32,0,up,56,
130,32,88,up,0,
131,32,44,up,0,
132,33,0,down,56,
133,33,0,up,37,
134,33,97,down,0,
135,33,0,down,37,
136,33,0,up,83,
137,34,44,down,0,
138,34,35,up,0,
139,34,35,down,0,
140,34,0,down,71,
141,34,0,up,1,
142,34,0,down,22,
143,34,0,up,41,
144,34,88,down,0,
145,35,0,down,1,
146,35,0,up,49,
147,35,0,down,41,
148,35,0,up,89,
149,35,15,up,0,
150,35,3,up,0,
151,35,0,down,83,
152,35,0,up,12,
153,35,3,down,0,
154,35,65,up,0,
155,35,0,down,33,
156,35,0,up,70,
157,35,0,down,31,
158,35,0,up,95,
159,35,0,down,12,
160,35,0,up,25,
161,35,15,down,0,
162,36,0,down,89,
163,36,0,up,73,
164,36,96,up,0,
165,36,0,down,70,
166,36,0,up,42,
167,36,0,down,25,
168,36,0,up,59,
169,36,40,up,42,
170,36,0,down,59,
171,36,0,up,8,
172,36,0,down,49,
173,36,0,up,84,
174,36,0,down,84,
175,36,0,up,52,
176,37,28,up,0,
177,37,0,down,73,
178,37,0,up,64,
179,37,55,up,42,
180,37,6,up,0,
181,37,45,up,70,
182,38,0,down,42,
183,38,0,up,36,
184,38,55,up,70,
185,38,96,down,0,
186,38,0,down,52,
187,38,0,up,47,
188,38,0,down,8,
189,38,0,up,77,
190,38,78,up,0,
191,38,0,down,64,
192,38,0,up,72,
