i,time,node,event,peer,msg
0,10,0,up,5,
1,10,0,up,74,
2,10,0,up,87,
3,10,0,up,62,
4,10,0,up,18,
5,11,0,down,87,
6,11,0,up,92,
7,12,0,down,62,
8,12,0,up,58,
9,12,0,down,5,
10,12,0,up,68,
11,12,0,down,68,
12,12,0,up,41,
13,13,0,down,18,
14,13,0,up,70,
15,13,0,down,92,
16,13,0,up,14,
17,14,0,down,70,
18,14,0,up,3,
19,17,0,down,74,
20,17,0,up,23,
21,17,0,down,41,
22,17,0,up,32,
23,18,0,down,23,
24,18,0,up,99,
25,18,0,down,58,
26,18,0,up,50,
27,18,0,down,50,
28,18,0,up,16,
29,19,0,down,14,
30,19,0,up,22,
31,19,0,down,16,
32,19,0,up,44,
33,19,0,down,22,
34,19,0,up,52,
35,19,0,down,99,
36,19,0,up,35,
37,19,0,down,52,
38,19,0,up,56,
39,20,0,down,3,
40,20,0,up,85,
41,20,5,up,0,
42,20,74,up,0,
43,20,87,up,0,
44,20,0,down,35,
45,20,0,up,65,
46,20,0,down,32,
47,20,0,up,17,
48,20,62,up,0,
49,20,18,up,0,
50,21,0,down,56,
51,21,0,up,54,
52,21,87,down,0,
53,22,0,down,17,
54,22,0,up,55,
55,22,0,down,65,
56,22,0,up,29,
57,22,5,down,0,
58,22,62,down,0,
59,23,92,up,0,
60,23,0,down,85,
61,23,0,up,93,
62,23,0,down,93,
63,23,0,up,88,
64,23,18,down,0,
65,23,0,down,29,
66,23,0,up,81,
67,23,0,down,88,
68,23,0,up,24,
69,24,58,up,0,
70,24,0,down,54,
71,24,0,up,6,
72,24,68,up,0,
73,25,92,down,0,
74,25,68,down,0,
75,25,41,up,0,
76,25,0,down,44,
77,25,0,up,21,
78,25,0,down,24,
79,25,0,up,25,
80,25,0,down,21,
81,25,0,up,48,
82,25,0,down,6,
83,25,0,up,10,
84,26,70,up,0,
85,26,0,down,55,
86,26,0,up,67,
87,26,0,down,81,
88,26,0,up,13,
89,26,0,down,48,
90,26,0,up,94,
91,26,14,up,0,
92,27,74,down,0,
93,27,0,down,25,
94,27,0,up,11,
95,28,70,down,0,
96,28,0,down,11,
97,28,0,up,49,
98,29,0,down,10,
99,29,0,up,90,
100,29,0,down,13,
101,29,0,up,28,
102,29,0,down,90,
103,29,0,up,38,
104,29,0,down,67,
105,29,0,up,78,
106,29,0,down,38,
107,29,0,up,43,
108,29,3,up,0,
109,30,0,down,78,
110,30,0,up,63,
111,30,41,down,0,
112,30,0,down,28,
113,30,0,up,96,
114,30,0,down,49,
115,30,0,up,60,
116,30,0,down,94,
117,30,0,up,5,
118,30,58,down,0,
119,30,0,down,96,
120,30,0,up,66,
121,30,0,down,66,
122,30,0,up,74,
123,30,0,down,43,
124,30,0,up,87,
125,31,0,down,87,
126,31,0,up,62,
127,31,0,down,60,
128,31,0,up,18,
129,32,0,down,18,
130,32,0,up,80,
131,32,0,down,62,
132,32,0,up,2,
133,32,14,down,0,
134,32,0,down,80,
135,32,0,up,26,
136,32,0,down,5,
137,33,0,up,31,
138,33,0,down,63,
139,33,0,up,61,
140,33,0,down,31,
141,33,0,up,37,
142,33,0,down,74,
143,33,0,up,47,
144,34,0,down,47,
145,34,0,up,76,
146,34,0,down,26,
147,34,0,up,4,
148,34,0,down,76,
149,34,0,up,64,
150,34,23,up,0,
151,34,92,up,74,
152,34,0,down,61,
153,34,0,up,92,
154,34,0,down,64,
155,34,0,up,71,
156,35,3,down,0,
157,35,23,down,0,
158,35,32,up,0,
159,35,62,up,5,
160,36,0,down,92,
161,36,0,up,75,
162,36,0,down,37,
163,36,0,up,30,
164,36,0,down,71,
165,36,0,up,27,
166,36,0,down,75,
167,36,0,up,8,
168,36,99,up,0,
169,36,50,up,0,
170,36,0,down,27,
171,36,0,up,33,
172,36,58,up,5,
173,36,0,down,30,
174,36,0,up,40,
175,36,18,up,87,
176,36,0,down,2,
177,36,0,up,42,
178,36,0,down,4,
179,36,0,up,53,
180,36,0,down,42,
