0,1,37
0,2,32
0,3,14
0,4,34
0,5,10
0,6,24
0,7,48
0,8,36
0,9,42
0,10,25
0,11,27
0,12,44
0,13,26
0,14,13
0,15,45
0,16,18
0,17,20
0,18,10
0,19,41
0,20,41
0,21,25
0,22,19
0,23,17
0,24,23
0,25,25
0,26,32
0,27,36
0,28,29
0,29,22
0,30,36
0,31,33
0,32,17
0,33,36
0,34,42
0,35,19
0,36,42
0,37,33
0,38,29
0,39,48
0,40,36
0,41,12
0,42,36
0,43,29
0,44,19
0,45,49
0,46,41
0,47,33
0,48,25
0,49,28
0,50,18
0,51,39
0,52,19
0,53,36
0,54,21
0,55,22
0,56,19
0,57,44
0,58,12
0,59,41
0,60,30
0,61,33
0,62,10
0,63,30
0,64,34
0,65,20
0,66,30
0,67,26
0,68,12
0,69,46
0,70,13
0,71,34
0,72,46
0,73,44
0,74,10
0,75,36
0,76,34
0,77,45
0,78,29
0,79,41
0,80,32
0,81,23
0,82,42
0,83,38
0,84,38
0,85,20
0,86,38
0,87,10
0,88,23
0,89,45
0,90,29
0,91,42
0,92,11
0,93,23
0,94,26
0,95,47
0,96,30
0,97,47
0,98,45
0,99,18
1,8,26
1,40,34
1,42,15
1,53,36
1,58,19
1,74,13
1,76,45
2,23,10
2,29,24
2,38,20
2,48,39
2,63,27
2,74,13
2,80,18
2,92,45
3,14,16
3,16,27
3,22,27
3,23,22
3,32,28
3,35,10
3,41,37
3,44,15
3,50,13
3,52,46
3,54,19
3,56,47
3,58,12
3,74,13
3,99,18
4,8,23
4,15,49
4,27,25
4,30,23
4,33,37
4,35,45
4,37,47
4,40,37
4,42,32
4,61,25
4,64,15
4,71,28
4,75,32
4,76,29
5,18,22
5,21,22
5,30,10
5,31,43
5,41,49
5,50,42
5,58,14
5,62,15
5,74,39
5,87,16
5,92,21
6,21,12
6,24,26
6,25,27
6,44,23
6,48,24
6,55,33
6,81,42
6,99,42
7,15,16
7,39,18
7,45,30
7,51,26
7,77,16
7,89,31
7,97,19
7,98,48
8,23,46
8,27,32
8,30,22
8,33,38
8,38,32
8,40,29
8,42,47
8,51,11
8,53,18
8,60,38
8,83,35
8,84,15
8,86,43
9,20,49
9,34,43
9,59,31
9,79,10
9,82,14
9,90,24
9,91,43
10,11,46
10,13,32
10,25,32
10,48,47
10,49,48
10,55,36
10,67,34
10,81,46
10,94,26
11,13,25
11,23,18
11,25,20
11,67,28
11,94,32
12,34,32
12,36,25
12,38,42
12,57,25
12,59,34
12,82,49
13,25,17
13,26,26
13,48,39
13,49,27
13,50,20
13,53,45
13,67,26
13,78,15
13,90,45
13,94,24
14,16,39
14,23,30
14,32,40
14,41,14
14,50,35
14,58,27
14,70,13
14,74,23
14,84,44
14,99,49
15,34,40
15,69,39
15,72,28
15,73,37
15,77,25
15,89,17
15,95,28
16,22,35
16,24,43
16,32,22
16,43,33
16,50,41
16,62,19
16,99,37
17,22,49
17,38,37
17,44,35
17,54,22
17,56,37
17,65,46
17,70,10
17,85,48
18,22,10
18,23,16
18,41,30
18,58,30
18,62,39
18,68,41
18,74,22
18,87,15
18,92,46
19,20,16
19,24,15
19,58,43
19,59,48
19,83,18
19,93,27
