i,time,node,event,peer,msg
0,10,0,up,83,
1,10,0,up,21,
2,10,0,up,81,
3,11,0,up,51,
4,11,0,up,90,
5,13,0,down,51,
6,13,0,up,68,
7,13,0,down,21,
8,13,0,up,77,
9,14,0,down,90,
10,14,0,up,69,
11,14,0,down,77,
12,14,0,up,10,
13,14,0,down,68,
14,14,0,up,98,
15,14,0,down,83,
16,14,0,up,54,
17,14,0,down,54,
18,14,0,up,2,
19,15,0,down,69,
20,15,0,up,92,
21,15,0,down,2,
22,15,0,up,30,
23,16,0,down,10,
24,16,0,up,52,
25,16,0,down,98,
26,16,0,up,12,
27,16,0,down,12,
28,16,0,up,47,
29,17,0,down,52,
30,17,0,up,88,
31,17,0,down,30,
32,17,0,up,65,
33,18,0,down,88,
34,18,0,up,28,
35,18,0,down,92,
36,18,0,up,60,
37,18,0,down,47,
38,18,0,up,46,
39,19,0,down,60,
40,19,0,up,36,
41,19,0,down,46,
42,19,0,up,57,
43,20,83,up,0,
44,20,0,down,81,
45,20,0,up,94,
46,20,21,up,0,
47,20,81,up,0,
48,20,0,down,28,
49,20,0,up,96,
50,21,0,down,57,
51,21,0,up,67,
52,21,0,down,65,
53,21,0,up,97,
54,22,51,up,0,
55,23,90,up,0,
56,23,0,down,94,
57,23,0,up,18,
58,24,21,down,0,
59,24,51,down,0,
60,24,0,down,18,
61,24,0,up,16,
62,24,0,down,16,
63,24,0,up,13,
64,24,83,down,0,
65,24,0,down,13,
66,24,0,up,80,
67,25,0,down,80,
68,25,0,up,55,
69,25,0,down,97,
70,25,0,up,95,
71,25,90,down,0,
72,26,0,down,95,
73,26,0,up,14,
74,26,68,up,0,
75,26,0,down,14,
76,26,0,up,45,
77,26,0,down,67,
78,26,0,up,74,
79,26,0,down,45,
80,26,0,up,72,
81,27,0,down,55,
82,27,0,up,39,
83,27,77,up,0,
84,27,68,down,0,
85,27,0,down,36,
86,27,0,up,79,
87,28,0,down,72,
88,28,0,up,61,
89,28,69,up,0,
90,28,77,down,0,
91,28,0,down,79,
92,28,0,up,43,
93,28,10,up,0,
94,29,98,up,0,
95,29,69,down,0,
96,29,54,up,0,
97,29,54,down,0,
98,29,2,up,0,
99,30,2,down,0,
100,30,0,down,43,
101,30,0,up,19,
102,30,0,down,61,
103,30,0,up,83,
104,30,92,up,0,
105,30,30,up,0,
106,30,0,down,74,
107,30,0,up,76,
108,30,81,down,0,
109,30,10,down,0,
110,30,0,down,19,
111,30,0,up,21,
112,30,98,down,0,
113,31,0,down,21,
114,31,0,up,81,
115,31,0,down,39,
116,31,0,up,64,
117,31,0,down,64,
118,31,0,up,93,
119,31,0,down,96,
120,31,0,up,24,
121,32,52,up,0,
122,32,0,down,83,
123,32,0,up,91,
124,32,0,down,76,
125,32,0,up,33,
126,32,12,up,0,
127,33,12,down,0,
128,33,30,down,0,
129,33,47,up,0,
130,33,52,down,0,
131,33,0,down,81,
132,33,0,up,38,
133,33,0,down,93,
134,33,0,up,86,
135,33,0,down,86,
136,33,0,up,4,
137,33,0,down,24,
138,33,0,up,51,
139,33,92,down,0,
140,34,0,down,33,
141,34,0,up,59,
142,34,88,up,0,
143,34,0,down,51,
144,34,0,up,15,
145,35,0,down,91,
146,35,0,up,90,
147,35,0,down,15,
148,35,0,up,50,
149,35,88,down,0,
150,35,47,down,0,
151,35,0,down,50,
152,35,0,up,70,
153,35,65,up,0,
154,36,28,up,0,
155,36,0,down,90,
156,36,0,up,58,
